"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2020","1.2730","1.3002","1.3008","1.2686","","-2.08%"
"11/01/2020","1.3000","1.3316","1.3371","1.2921","","-2.38%"
"10/01/2020","1.3317","1.3321","1.3391","1.3079","","-0.02%"
"09/01/2020","1.3319","1.3042","1.3421","1.2992","","2.10%"
"08/01/2020","1.3045","1.3401","1.3452","1.3018","","-2.74%"
"07/01/2020","1.3413","1.3576","1.3648","1.3329","","-1.18%"
"06/01/2020","1.3573","1.3782","1.3802","1.3313","","-1.42%"
"05/01/2020","1.3769","1.3946","1.4174","1.3712","","-1.23%"
"04/01/2020","1.3941","1.4060","1.4300","1.3848","","-0.84%"
"03/01/2020","1.4059","1.3412","1.4669","1.3314","","4.95%"
"02/01/2020","1.3396","1.3238","1.3466","1.3200","","1.22%"
"01/01/2020","1.3235","1.2986","1.3254","1.2954","","1.92%"
"12/01/2019","1.2986","1.3279","1.3322","1.2949","","-2.18%"
"11/01/2019","1.3275","1.3164","1.3329","1.3110","","0.88%"
"10/01/2019","1.3159","1.3241","1.3348","1.3039","","-0.60%"
"09/01/2019","1.3239","1.3313","1.3384","1.3131","","-0.53%"
"08/01/2019","1.3310","1.3192","1.3346","1.3175","","0.92%"
"07/01/2019","1.3189","1.3092","1.3215","1.3014","","0.76%"
"06/01/2019","1.3090","1.3521","1.3529","1.3057","","-3.12%"
"05/01/2019","1.3512","1.3388","1.3566","1.3355","","0.94%"
"04/01/2019","1.3386","1.3354","1.3522","1.3272","","0.31%"
"03/01/2019","1.3344","1.3172","1.3471","1.3128","","1.35%"
"02/01/2019","1.3166","1.3123","1.3343","1.3066","","0.34%"
"01/01/2019","1.3122","1.3636","1.3664","1.3116","","-3.78%"
"12/01/2018","1.3637","1.3258","1.3666","1.3159","","2.59%"
"11/01/2018","1.3293","1.3156","1.3361","1.3046","","1.07%"
"10/01/2018","1.3152","1.2902","1.3172","1.2780","","1.92%"
"09/01/2018","1.2904","1.3039","1.3228","1.2882","","-1.02%"
"08/01/2018","1.3037","1.3005","1.3177","1.2885","","0.25%"
"07/01/2018","1.3005","1.3141","1.3291","1.2983","","-0.95%"
"06/01/2018","1.3130","1.2957","1.3387","1.2857","","1.34%"
"05/01/2018","1.2956","1.2843","1.3048","1.2727","","0.92%"
"04/01/2018","1.2838","1.2902","1.2945","1.2524","","-0.41%"
